algorithm,round,mean_changed_bits,std_changed_bits,avalanche_percent,ideal_avalanche_percent,deviation_from_50_percent,samples
ChaCha,8,257.42,10.70464828705245,50.27734375,50.0,0.27734375,100
ChaCha,10,256.66,11.21256510177828,50.12890625000001,50.0,0.1289062500000071,100
ChaCha,12,255.4,10.367977116822235,49.8828125,50.0,0.1171875,100
ChaCha,14,257.0,11.581071285559558,50.1953125,50.0,0.1953125,100
ChaCha,16,256.77,10.476385181189476,50.150390625,50.0,0.150390625,100
ChaCha,18,256.56,10.423671584088272,50.109375,50.0,0.109375,100
ChaCha,20,255.02,12.423487042816534,49.80859375,50.0,0.19140625,100
Haraka-style-256,1,129.52,12.140989925192937,50.59375000000001,50.0,0.5937500000000071,100
Haraka-style-256,2,128.0,11.111919162536573,50.0,50.0,0.0,100
Haraka-style-256,3,128.88,11.279085857363519,50.34375,50.0,0.34375,100
